name,age,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing,position_AM,position_CB,position_CF,position_CM,position_DM,position_GK,position_LB,position_LM,position_LW,position_RB,position_RM,position_RW,position_SS
Gareth McAuley,37,3,1.0,458,5.0,0.118,131,2.0,0,6,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Salomon Rondon,27,1,15.0,502,6.5,0.02,118,3.0,0,3,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Matt Phillips,26,1,9.0,454,6.0,0.056,115,2.0,0,3,19,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Ben Foster,34,4,4.0,484,4.5,0.207,113,1.0,0,6,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nacer Chadli,27,1,15.0,570,6.0,0.024,110,2.0,0,3,19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Craig Dawson,27,3,6.0,215,5.0,0.06,102,1.0,0,3,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Chris Brunt,32,2,4.0,242,5.5,0.008,99,2.0,0,5,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
James Morrison,31,2,5.0,238,5.5,0.0,84,2.0,0,4,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jonny Evans,29,3,7.0,375,5.0,0.016,79,2.0,0,4,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jake Livermore,27,2,7.0,564,5.0,0.002,77,1.0,0,3,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Allan Nyom,29,3,4.5,236,5.0,0.003,74,4.0,0,4,19,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
Jay Rodriguez,27,1,10.0,472,6.0,0.029,73,1.0,0,3,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Claudio Yacob,30,2,4.0,165,4.5,0.004,54,3.0,0,4,19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
James McClean,28,1,3.0,454,5.0,0.002,52,2.0,0,4,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hal Robson-Kanu,28,1,2.5,766,5.0,0.006999999999999999,52,2.0,0,4,19,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Jonathan Leko,18,1,1.5,169,4.5,0.002,12,1.0,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Sam Field,19,2,0.25,15,4.5,0.001,9,1.0,0,1,19,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Boaz Myhill,34,4,1.5,100,4.0,0.053,0,2.0,0,6,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ahmed Hegazy,26,3,1.0,82,4.5,0.013,0,4.0,1,3,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Robert Snodgrass,29,1,8.0,1210,6.0,0.065,133,2.0,0,4,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Manuel Lanzini,24,1,15.0,493,7.0,0.07200000000000001,133,3.0,0,2,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio,27,1,18.0,1142,7.5,0.005,132,1.0,0,3,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Winston Reid,29,3,10.0,338,5.0,0.004,102,4.0,0,4,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jose Fonte,33,3,7.0,867,5.0,0.021,98,2.0,0,5,20,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Andre Ayew,27,1,18.0,845,7.0,0.034,89,4.0,0,3,20,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Cheikhou Kouyate,27,2,12.0,284,5.0,0.001,79,4.0,0,3,20,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mark Noble,30,2,7.0,425,5.5,0.001,71,1.0,0,4,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Darren Randolph,30,4,2.5,459,4.5,0.004,69,2.0,0,4,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
James Collins,33,3,2.0,187,4.5,0.009000000000000001,69,2.0,0,5,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Andy Carroll,28,1,10.0,1212,6.0,0.004,69,1.0,0,4,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Adrian,30,4,8.0,266,4.5,0.008,64,2.0,0,4,20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aaron Cresswell,27,3,12.0,380,5.0,0.013,60,1.0,0,3,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Pedro Obiang,25,2,9.0,286,4.5,0.003,55,2.0,0,3,20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Sofiane Feghouli,27,1,12.0,394,5.5,0.002,55,4.0,0,3,20,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Angelo Ogbonna,29,3,9.0,247,4.5,0.011,45,2.0,0,4,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Pablo Zabaleta,32,3,7.0,698,5.0,0.027000000000000003,45,3.0,0,5,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Edimilson Fernandes,21,2,5.0,288,4.5,0.004,38,2.0,0,1,20,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Arthur Masuaku,23,3,7.0,199,4.5,0.002,34,4.0,0,2,20,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
Sam Byram,23,3,4.5,198,4.5,0.003,29,1.0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ashley Fletcher,21,1,1.0,412,4.5,0.059,16,1.0,0,1,20,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Diafra Sakho,27,1,10.0,214,5.5,0.001,12,4.0,0,3,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
