name,age,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing,position_AM,position_CB,position_CF,position_CM,position_DM,position_GK,position_LB,position_LM,position_LW,position_RB,position_RM,position_RW,position_SS
N%27Golo Kante,26,2,50.0,4042,5.0,0.138,83,2.0,0,3,5,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Willy Caballero,35,4,1.5,542,5.0,0.002,64,3.0,0,6,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Michy Batshuayi,23,1,25.0,1162,8.5,0.016,48,2.0,0,2,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Kurt Zouma,22,3,15.0,723,5.5,0.008,15,2.0,0,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Kenedy,21,3,7.0,566,5.0,0.001,3,3.0,0,1,5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Eduardo Carvalho,34,1,0.05,467,5.0,0.001,0,2.0,0,6,5,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Antonio Rudiger,24,3,25.0,454,6.0,0.064,0,2.0,1,2,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tiemoue Bakayoko,22,2,16.0,1011,5.0,0.016,0,2.0,1,2,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Wilfried Zaha,24,1,18.0,1709,7.0,0.209,149,4.0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Christian Benteke,26,1,28.0,1661,8.0,0.105,136,2.0,0,3,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Andros Townsend,26,1,12.0,693,6.0,0.027000000000000003,116,1.0,0,3,6,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
Patrick van Aanholt,26,3,9.0,524,5.5,0.042,98,2.0,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
James McArthur,29,2,7.0,216,4.5,0.109,93,2.0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Wayne Hennessey,30,4,4.0,242,4.5,0.021,92,2.0,0,4,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jason Puncheon,31,1,5.5,427,5.0,0.012,92,1.0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Yohan Cabaye,31,2,15.0,456,5.5,0.014,91,2.0,0,4,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Joel Ward,27,3,5.0,154,5.0,0.006,86,1.0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
James Tomkins,28,3,7.0,208,4.5,0.02,75,1.0,0,4,6,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Scott Dann,30,3,5.0,217,5.0,0.011,61,1.0,0,4,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Damien Delaney,36,3,1.0,195,4.5,0.006,51,2.0,0,6,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jeffrey Schlupp,24,3,8.0,385,5.0,0.003,47,4.0,0,2,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Martin Kelly,27,3,3.0,210,4.5,0.003,46,1.0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Luka Milivojevic,26,2,10.0,407,5.0,0.002,42,2.0,0,3,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lee Chung-yong,29,1,1.5,327,4.5,0.001,24,4.0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Connor Wickham,24,1,6.0,248,5.5,0.0,18,1.0,0,2,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Bakary Sako,29,1,6.0,226,5.0,0.001,7,4.0,0,4,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Pape Souare,27,3,6.0,186,4.5,0.0,6,4.0,0,3,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Ruben Loftus-Cheek,21,2,5.0,685,4.5,0.16399999999999998,6,1.0,0,1,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Julian Speroni,38,4,0.25,188,4.0,0.02,0,3.0,0,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ross Barkley,23,1,25.0,1413,7.5,0.006999999999999999,144,1.0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Leighton Baines,32,3,12.0,491,6.0,0.1,135,1.0,0,5,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Seamus Coleman,28,3,17.0,843,6.5,0.004,133,2.0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Ashley Williams,32,3,8.0,599,5.5,0.047,127,2.0,0,5,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Kevin Mirallas,29,1,13.0,417,6.5,0.032,119,2.0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Michael Keane,24,3,18.0,1362,5.5,0.131,113,1.0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Phil Jagielka,34,3,2.0,566,5.0,0.063,104,1.0,0,6,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jordan Pickford,23,4,15.0,719,5.0,0.146,102,1.0,0,2,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Joel Robles,27,4,5.0,304,4.5,0.004,89,2.0,0,3,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Idrissa Gueye,27,2,18.0,705,5.0,0.013,80,4.0,0,3,7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Wayne Rooney,31,1,15.0,7664,7.5,0.209,76,1.0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ramiro Funes Mori,26,3,12.0,460,5.0,0.001,69,3.0,0,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Maarten Stekelenburg,34,4,2.0,623,4.5,0.003,68,2.0,0,6,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
Gareth Barry,36,2,1.5,1331,4.5,0.017,68,1.0,0,6,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tom Davies,19,2,8.0,1354,5.5,0.01,63,1.0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Mason Holgate,20,3,5.0,344,4.5,0.029,54,1.0,0,1,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Yannick Bolasie,28,1,20.0,896,6.5,0.002,45,4.0,0,4,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
Morgan Schneiderlin,27,2,22.0,1272,5.0,0.009000000000000001,37,2.0,0,3,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Cuco Martina,27,3,2.0,232,4.5,0.004,31,2.0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
James McCarthy,26,2,15.0,306,5.0,0.001,23,2.0,0,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Aaron Lennon,30,1,5.0,504,5.5,0.002,22,1.0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Dominic Calvert-Lewin,20,1,3.5,343,5.0,0.003,17,1.0,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Ademola Lookman,19,1,5.0,1387,5.5,0.003,16,1.0,0,1,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Matthew Pennington,22,3,0.5,219,4.0,0.017,9,1.0,0,2,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jonjoe Kenny,20,3,0.25,53,4.5,0.002,1,1.0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Muhamed Besic,24,2,5.0,238,4.5,0.002,0,2.0,0,2,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Davy Klaassen,24,1,18.0,428,7.5,0.036000000000000004,0,2.0,1,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Sandro Ramirez,22,1,10.0,373,7.5,0.021,0,2.0,1,2,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Joel Coleman,21,4,0.25,36,4.0,0.024,0,1.0,0,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Jonas Lossl,28,4,1.5,56,4.5,0.005,0,2.0,0,4,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Christopher Schindler,27,3,2.0,73,4.5,0.009000000000000001,0,2.0,0,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Chris Lowe,28,3,1.5,84,4.5,0.006999999999999999,0,2.0,0,4,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Tommy Smith,25,3,2.0,65,5.0,0.011,0,1.0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Michael Hefele,26,3,1.5,116,4.5,0.002,0,2.0,0,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Martin Cranie,30,3,0.5,67,4.0,0.014,0,1.0,0,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Jon Gorenc Stankovic,21,3,0.5,83,4.0,0.011,0,2.0,0,1,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mark Hudson,35,3,0.5,70,4.0,0.014,0,1.0,0,6,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Mathias Jorgensen,27,3,2.5,107,4.5,0.002,0,2.0,0,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Scott Malone,26,3,0.75,81,4.5,0.001,0,1.0,0,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Aaron Mooy,26,2,5.0,588,5.5,0.025,0,4.0,0,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Rajiv van La Parra,26,1,2.0,174,5.0,0.003,0,2.0,0,3,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Jonathan Hogg,28,2,1.0,75,4.5,0.003,0,1.0,0,4,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Philip Billing,21,2,0.5,157,4.5,0.001,0,2.0,0,1,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Joe Lolley,24,1,0.25,63,4.5,0.001,0,1.0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jack Payne,25,2,0.25,81,4.5,0.001,0,1.0,0,3,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Dean Whitehead,35,2,0.25,161,4.5,0.001,0,1.0,0,6,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Harry Bunn,24,1,0.5,85,4.5,0.001,0,1.0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Sean Scannell,26,1,0.5,85,4.5,0.001,0,2.0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Elias Kachunga,25,1,3.5,231,6.0,0.006,0,4.0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Tom Ince,25,1,7.0,512,6.0,0.026,0,1.0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kasey Palmer,20,1,0.75,220,5.5,0.002,0,1.0,0,1,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Andy Williams,26,3,0.65,3,5.0,0.001,0,3.0,0,3,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Nahki Wells,27,1,5.0,247,5.0,0.006,0,3.0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Collin Quaner,26,1,1.0,126,4.5,0.016,0,2.0,0,3,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Laurent Depoitre,28,1,3.0,212,5.5,0.003,0,2.0,0,4,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Steve Mounie,22,1,5.5,56,6.0,0.006,0,4.0,0,2,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Jamie Vardy,30,1,15.0,2988,8.5,0.015,161,1.0,0,4,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Riyad Mahrez,26,1,30.0,1753,8.5,0.017,120,4.0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Kasper Schmeichel,30,4,10.0,1601,5.0,0.024,109,2.0,0,4,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Christian Fuchs,31,3,6.0,417,5.0,0.035,104,2.0,0,4,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Marc Albrighton,27,2,6.0,347,5.5,0.011,95,1.0,0,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Robert Huth,32,3,5.0,748,5.0,0.006,88,2.0,0,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Danny Simpson,30,3,5.0,428,4.5,0.055,85,1.0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Islam Slimani,29,1,25.0,1581,7.0,0.006999999999999999,83,4.0,0,4,9,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
