name,age,position,position_cat,market_value,page_views,fpl_value,fpl_sel,fpl_points,region,new_foreign,age_cat,club_id,big_club,new_signing
Jay Rodriguez,27,CF,1,10.0,472,6.0,0.028999999999999998,73,1.0,0,3,19,0,0
Claudio Yacob,30,DM,2,4.0,165,4.5,0.004,54,3.0,0,4,19,0,0
James McClean,28,LW,1,3.0,454,5.0,0.002,52,2.0,0,4,19,0,0
Hal Robson-Kanu,28,LW,1,2.5,766,5.0,0.006999999999999999,52,2.0,0,4,19,0,1
Jonathan Leko,18,RW,1,1.5,169,4.5,0.002,12,1.0,0,1,19,0,0
Sam Field,19,CM,2,0.25,15,4.5,0.001,9,1.0,0,1,19,0,0
Boaz Myhill,34,GK,4,1.5,100,4.0,0.053,0,2.0,0,6,19,0,0
Ahmed Hegazy,26,CB,3,1.0,82,4.5,0.013000000000000001,0,4.0,1,3,19,0,0
Robert Snodgrass,29,RW,1,8.0,1210,6.0,0.065,133,2.0,0,4,20,0,0
Manuel Lanzini,24,AM,1,15.0,493,7.0,0.07200000000000001,133,3.0,0,2,20,0,0
Michail Antonio,27,RW,1,18.0,1142,7.5,0.005,132,1.0,0,3,20,0,0
Winston Reid,29,CB,3,10.0,338,5.0,0.004,102,4.0,0,4,20,0,0
Jose Fonte,33,CB,3,7.0,867,5.0,0.021,98,2.0,0,5,20,0,1
Andre Ayew,27,LW,1,18.0,845,7.0,0.034,89,4.0,0,3,20,0,1
Cheikhou Kouyate,27,DM,2,12.0,284,5.0,0.001,79,4.0,0,3,20,0,0
Mark Noble,30,CM,2,7.0,425,5.5,0.001,71,1.0,0,4,20,0,0
Darren Randolph,30,GK,4,2.5,459,4.5,0.004,69,2.0,0,4,20,0,0
James Collins,33,CB,3,2.0,187,4.5,0.009000000000000001,69,2.0,0,5,20,0,0
Andy Carroll,28,CF,1,10.0,1212,6.0,0.004,69,1.0,0,4,20,0,0
Adrian,30,GK,4,8.0,266,4.5,0.008,64,2.0,0,4,20,0,0
Aaron Cresswell,27,LB,3,12.0,380,5.0,0.013000000000000001,60,1.0,0,3,20,0,0
Pedro Obiang,25,CM,2,9.0,286,4.5,0.003,55,2.0,0,3,20,0,0
Sofiane Feghouli,27,RW,1,12.0,394,5.5,0.002,55,4.0,0,3,20,0,1
Angelo Ogbonna,29,CB,3,9.0,247,4.5,0.011000000000000001,45,2.0,0,4,20,0,0
Pablo Zabaleta,32,RB,3,7.0,698,5.0,0.027000000000000003,45,3.0,0,5,20,0,0
Edimilson Fernandes,21,CM,2,5.0,288,4.5,0.004,38,2.0,0,1,20,0,1
Arthur Masuaku,23,LB,3,7.0,199,4.5,0.002,34,4.0,0,2,20,0,1
Sam Byram,23,RB,3,4.5,198,4.5,0.003,29,1.0,0,2,20,0,0
Ashley Fletcher,21,CF,1,1.0,412,4.5,0.059000000000000004,16,1.0,0,1,20,0,1
Diafra Sakho,27,CF,1,10.0,214,5.5,0.001,12,4.0,0,3,20,0,0
